,0
0,7
1,4
2,5
3,4
4,4
5,3
6,3
7,5
8,4
9,4
10,5
11,0
12,0
13,2
14,0
15,1
16,2
17,0
18,1
19,5
20,1
21,2
22,2
23,2
24,2
25,0
26,1
27,1
28,6
29,1
30,5
31,5
32,1
33,6
34,0
35,4
36,1
37,1
38,5
39,5
40,1
41,7
42,1
43,8
44,5
45,4
46,1
47,4
48,1
49,0
50,4
51,5
52,8
53,1
54,1
55,1
56,4
57,4
58,1
59,4
60,1
61,1
62,4
63,1
64,4
65,7
66,1
67,4
68,4
69,1
70,7
71,1
72,4
73,1
74,4
75,1
76,4
77,4
78,5
79,4
80,1
81,4
82,5
83,1
84,1
85,4
86,1
87,4
88,4
89,1
90,6
91,3
92,8
93,5
94,5
95,8
96,8
97,8
98,8
99,8
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,8
112,5
113,3
114,5
115,7
116,7
117,7
118,1
119,7
120,7
121,7
122,7
123,0
124,7
125,7
126,7
127,7
128,7
129,7
130,7
131,7
132,7
133,7
134,0
135,0
136,7
137,7
138,7
139,7
140,7
141,7
142,7
143,7
144,7
145,7
146,7
147,7
148,7
149,7
150,7
151,7
152,7
153,7
154,0
155,7
156,7
157,7
158,7
159,7
160,7
161,7
162,7
163,7
164,7
165,1
166,7
167,7
168,7
169,4
170,8
171,8
172,1
173,1
174,0
175,4
176,5
177,5
178,5
179,8
180,8
181,4
182,8
183,1
184,8
185,4
186,1
187,1
188,1
189,8
190,8
191,1
192,5
193,4
194,4
195,4
196,5
197,7
198,1
199,5
200,5
201,1
202,1
203,1
204,0
205,8
206,8
207,7
208,1
209,1
210,0
211,1
212,5
213,1
214,0
215,1
216,1
217,0
218,1
219,1
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,5
228,1
229,7
230,1
231,1
232,4
233,4
234,4
235,4
236,4
237,1
238,4
239,4
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,4
249,0
250,1
251,4
252,4
253,4
254,4
255,4
256,1
257,1
258,4
259,1
260,1
261,1
262,4
263,4
264,4
265,4
266,4
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,8
275,8
276,3
277,8
278,8
279,8
280,4
281,8
282,8
283,3
284,8
285,8
286,8
287,3
288,8
289,3
290,8
291,5
292,8
293,4
294,5
295,4
296,8
297,8
298,8
299,5
300,8
301,8
302,8
303,8
304,8
305,8
306,8
307,8
308,3
309,4
310,4
311,3
312,8
313,8
314,8
315,8
316,3
317,3
318,3
319,4
320,3
321,2
322,8
323,3
324,3
325,4
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,3
337,3
338,3
339,3
340,3
