,0
0,3
1,1
2,2
3,1
4,0
5,1
6,2
7,2
8,1
9,0
10,2
11,3
12,0
13,0
14,3
15,3
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,3
27,3
28,2
29,0
30,1
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,1
39,1
40,0
41,3
42,0
43,1
44,1
45,1
46,0
47,1
48,0
49,0
50,1
51,0
52,1
53,0
54,0
55,3
56,1
57,1
58,0
59,1
60,0
61,0
62,0
63,0
64,1
65,3
66,0
67,1
68,1
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,1
77,0
78,1
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,1
88,1
89,0
90,2
91,2
92,1
93,2
94,1
95,2
96,1
97,1
98,1
99,1
100,1
101,2
102,1
103,1
104,2
105,2
106,2
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,0
170,1
171,1
172,0
173,0
174,0
175,0
176,0
177,1
178,1
179,1
180,1
181,0
182,1
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,1
191,0
192,1
193,0
194,1
195,1
196,1
197,3
198,0
199,0
200,0
201,0
202,0
203,3
204,0
205,1
206,1
207,3
208,0
209,0
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,3
220,0
221,0
222,0
223,0
224,0
225,0
226,3
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,1
239,1
240,0
241,0
242,0
243,0
244,0
245,3
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,1
259,3
260,0
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,2
275,2
276,2
277,2
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,2
290,2
291,2
292,1
293,1
294,1
295,1
296,2
297,2
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,2
316,2
317,2
318,1
319,1
320,2
321,2
322,1
323,1
324,1
325,1
326,2
327,1
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,1
339,2
340,2
341,2
342,2
343,1
344,1
345,1
346,2
347,1
348,1
349,1
350,2
351,1
352,1
353,2
354,2
355,2
356,1
357,1
358,2
359,2
360,2
361,2
362,3
363,3
364,3
365,3
366,3
367,3
368,3
369,3
370,3
371,3
372,0
373,0
374,1
375,0
376,0
377,0
378,1
379,0
380,0
381,0
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,1
396,0
397,0
398,3
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,2
409,0
410,1
411,3
412,2
413,0
414,0
415,0
416,0
417,1
418,3
419,0
420,3
421,1
422,1
423,0
424,0
425,0
426,1
427,3
428,0
429,0
430,1
431,0
432,0
433,1
434,0
435,0
436,0
437,0
438,0
439,1
440,0
441,0
442,1
443,0
444,0
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,1
470,1
471,1
472,2
473,1
474,1
475,1
476,2
477,1
478,2
479,1
480,2
481,2
482,1
483,2
484,1
485,2
486,1
487,1
488,1
489,2
490,1
491,1
492,0
493,1
494,1
495,1
496,1
497,1
498,1
499,2
500,1
501,1
502,1
503,1
504,1
505,0
506,1
507,1
508,1
509,2
510,2
511,2
512,2
513,2
514,2
515,2
516,2
517,2
518,2
519,2
520,2
521,2
522,2
523,2
524,2
525,0
526,0
527,0
528,0
529,1
530,0
531,0
532,0
533,1
534,1
535,0
536,0
537,3
538,0
539,1
540,0
541,3
542,0
543,0
544,0
545,1
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,1
555,1
556,0
557,3
558,1
559,0
560,0
561,0
562,0
563,3
564,0
565,0
566,0
567,0
568,3
569,3
570,0
571,0
572,0
573,0
574,1
575,0
576,0
577,1
578,1
579,1
580,1
581,2
582,1
583,2
584,1
585,1
586,2
587,2
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,2
596,1
597,3
598,3
599,3
600,2
601,2
602,2
603,1
604,1
605,0
606,1
607,1
608,0
609,1
610,2
611,1
612,2
613,2
614,1
615,0
616,1
617,0
618,0
619,0
620,0
621,1
622,3
623,1
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,1
632,0
633,0
634,1
635,2
636,0
637,1
638,0
639,0
640,1
641,1
642,0
643,1
644,0
645,1
646,0
647,1
648,0
649,1
650,1
651,0
652,0
653,0
654,0
655,0
656,0
657,1
658,1
659,0
660,0
661,1
662,0
663,3
664,0
665,0
666,0
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,0
675,1
676,1
677,0
678,3
679,0
680,0
681,0
682,0
683,3
684,1
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,1
695,1
696,0
697,1
698,2
699,2
700,2
701,1
702,2
703,2
704,2
705,2
706,2
707,2
708,1
709,2
710,2
711,2
712,2
713,2
714,2
715,2
716,2
717,1
718,1
719,2
720,1
721,1
722,1
723,2
724,1
725,1
726,1
727,1
728,1
729,2
730,2
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,2
742,2
743,1
744,2
745,1
746,2
747,1
748,1
749,1
750,1
751,2
752,2
753,1
754,1
755,2
756,1
757,2
758,1
759,2
760,2
761,2
762,2
763,1
764,2
765,1
766,2
767,2
768,2
769,2
770,2
771,1
772,1
773,2
774,2
775,2
776,2
777,1
778,1
