,0
0,3
1,4
2,4
3,4
4,8
5,4
6,4
7,4
8,8
9,2
10,6
11,0
12,2
13,5
14,0
15,0
16,5
17,2
18,0
19,8
20,2
21,5
22,2
23,5
24,5
25,2
26,0
27,0
28,4
29,2
30,1
31,8
32,2
33,8
34,2
35,8
36,2
37,2
38,8
39,8
40,2
41,3
42,2
43,1
44,8
45,8
46,2
47,1
48,2
49,2
50,8
51,2
52,8
53,2
54,2
55,2
56,8
57,8
58,2
59,8
60,2
61,2
62,2
63,2
64,8
65,3
66,2
67,8
68,8
69,2
70,2
71,2
72,2
73,8
74,8
75,2
76,8
77,2
78,8
79,8
80,2
81,8
82,8
83,2
84,2
85,8
86,2
87,8
88,8
89,2
90,4
91,6
92,4
93,6
94,1
95,6
96,1
97,1
98,1
99,1
100,1
101,6
102,1
103,1
104,6
105,6
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,2
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,2
164,3
165,2
166,3
167,3
168,3
169,8
170,8
171,8
172,2
173,2
174,2
175,8
176,8
177,1
178,8
179,8
180,8
181,2
182,8
183,8
184,8
185,8
186,2
187,2
188,2
189,8
190,8
191,2
192,8
193,8
194,8
195,8
196,8
197,3
198,2
199,2
200,2
201,2
202,2
203,3
204,2
205,1
206,1
207,3
208,2
209,2
210,2
211,2
212,8
213,2
214,2
215,2
216,2
217,2
218,2
219,3
220,2
221,2
222,2
223,2
224,2
225,2
226,3
227,8
228,2
229,2
230,2
231,2
232,2
233,2
234,8
235,2
236,8
237,2
238,8
239,8
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,2
252,2
253,2
254,8
255,8
256,2
257,2
258,8
259,3
260,2
261,2
262,8
263,8
264,8
265,8
266,8
267,8
268,8
269,8
270,8
271,8
272,8
273,8
274,6
275,6
276,6
277,6
278,1
279,8
280,1
281,1
282,1
283,8
284,8
285,1
286,1
287,1
288,1
289,6
290,6
291,6
292,8
293,1
294,1
295,1
296,6
297,6
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,8
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,6
322,1
323,1
324,1
325,1
326,1
327,1
328,6
329,6
330,6
331,6
332,6
333,6
334,6
335,1
336,6
337,6
338,1
339,6
340,6
341,6
342,6
343,1
344,1
345,4
346,6
347,1
348,1
349,4
350,6
351,4
352,1
353,4
354,6
355,6
356,1
357,1
358,6
359,1
360,6
361,6
362,3
363,3
364,2
365,2
366,3
367,3
368,3
369,3
370,3
371,3
372,2
373,2
374,8
375,2
376,2
377,2
378,4
379,2
380,2
381,2
382,8
383,8
384,4
385,8
386,8
387,4
388,4
389,8
390,4
391,4
392,4
393,2
394,4
395,4
396,2
397,0
398,0
399,0
400,2
401,2
402,5
403,2
404,5
405,2
406,2
407,4
408,4
409,2
410,4
411,0
412,6
413,0
414,0
415,0
416,5
417,4
418,0
419,2
420,0
421,8
422,4
423,5
424,5
425,5
426,4
427,0
428,8
429,5
430,1
431,5
432,2
433,5
434,5
435,2
436,5
437,2
438,2
439,5
440,5
441,8
442,5
443,8
444,5
445,4
446,6
447,6
448,4
449,4
450,6
451,6
452,6
453,4
454,4
455,6
456,4
457,6
458,4
459,4
460,4
461,6
462,4
463,6
464,4
465,6
466,4
467,4
468,6
469,4
470,4
471,4
472,4
473,4
474,8
475,4
476,6
477,4
478,4
479,4
480,6
481,6
482,8
483,6
484,1
485,4
486,8
487,4
488,8
489,6
490,4
491,4
492,2
493,8
494,4
495,1
496,8
497,1
498,5
499,4
500,8
501,1
502,5
503,5
504,4
505,2
506,4
507,5
508,5
509,7
510,7
511,7
512,7
513,7
514,7
515,7
516,7
517,7
518,7
519,7
520,7
521,7
522,7
523,7
524,7
525,2
526,8
527,5
528,0
529,8
530,2
531,2
532,2
533,8
534,1
535,2
536,2
537,3
538,2
539,8
540,2
541,3
542,2
543,2
544,2
545,8
546,2
547,8
548,2
549,2
550,2
551,2
552,2
553,2
554,8
555,8
556,2
557,2
558,8
559,2
560,2
561,2
562,2
563,3
564,2
565,2
566,2
567,2
568,3
569,3
570,8
571,2
572,2
573,2
574,8
575,2
576,2
577,1
578,1
579,1
580,1
581,6
582,1
583,6
584,1
585,1
586,6
587,6
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,3
598,3
599,3
600,4
601,7
602,4
603,4
604,4
605,2
606,4
607,8
608,2
609,4
610,4
611,4
612,4
613,6
614,4
615,0
616,4
617,0
618,5
619,5
620,5
621,4
622,0
623,4
624,5
625,2
626,5
627,2
628,5
629,8
630,2
631,5
632,2
633,2
634,5
635,6
636,2
637,8
638,2
639,2
640,8
641,8
642,2
643,8
644,2
645,8
646,8
647,8
648,2
649,8
650,8
651,2
652,2
653,2
654,2
655,8
656,8
657,1
658,8
659,2
660,8
661,8
662,2
663,3
664,2
665,8
666,8
667,8
668,8
669,8
670,1
671,8
672,8
673,8
674,8
675,8
676,1
677,2
678,3
679,2
680,2
681,2
682,2
683,3
684,8
685,2
686,2
687,2
688,2
689,8
690,2
691,2
692,2
693,2
694,8
695,8
696,2
697,8
698,6
699,6
700,6
701,4
702,6
703,6
704,4
705,6
706,6
707,4
708,4
709,6
710,6
711,4
712,6
713,6
714,4
715,4
716,1
717,1
718,4
719,6
720,4
721,5
722,1
723,6
724,1
725,5
726,1
727,5
728,5
729,4
730,6
731,1
732,1
733,1
734,1
735,1
736,1
737,8
738,8
739,8
740,1
741,1
742,6
743,1
744,6
745,1
746,1
747,1
748,1
749,1
750,1
751,6
752,6
753,1
754,1
755,1
756,1
757,6
758,1
759,6
760,1
761,6
762,4
763,4
764,4
765,8
766,4
767,6
768,6
769,6
770,6
771,4
772,1
773,6
774,1
775,1
776,4
777,1
778,1
